Tarea,Fecha de inicio,Fecha de finalización,Duración (días),Nivel de prioridad,Porcentaje de avance
"Kick-off y planificación del proyecto","2025-10-15","2025-10-19",5,Alta,100
"Definición del alcance y objetivos","2025-10-15","2025-10-19",5,Alta,100
"Identificación de stakeholders","2025-10-17","2025-10-19",3,Media,100
"Levantamiento de requisitos funcionales","2025-10-20","2025-10-26",7,Alta,100
"Definición de historias de usuario","2025-10-20","2025-10-26",7,Alta,100
"Priorización de requisitos (MoSCoW)","2025-10-27","2025-10-29",3,Alta,100
"Validación de SRS con el cliente","2025-10-30","2025-11-01",3,Alta,100
"Aprobación de requisitos","2025-10-30","2025-11-01",3,Alta,100
"Diseño de arquitectura del sistema","2025-11-02","2025-11-07",6,Alta,100
"Creación de diagramas UML","2025-11-02","2025-11-07",6,Alta,100
"Diseño del modelo de datos (ER)","2025-11-05","2025-11-10",6,Alta,100
"Diseño de wireframes y mockups","2025-11-08","2025-11-14",7,Alta,100
"Creación de prototipo interactivo","2025-11-11","2025-11-15",5,Alta,100
"Aprobación de prototipo por cliente","2025-11-15","2025-11-17",3,Alta,100
"Configuración entorno desarrollo","2025-11-16","2025-11-19",4,Alta,100
"Setup repositorio Git","2025-11-16","2025-11-18",3,Alta,100
"Configuración Spring Boot base","2025-11-17","2025-11-20",4,Alta,100
"Implementación seguridad JWT","2025-11-19","2025-11-24",6,Alta,100
"API de autenticación (login/register)","2025-11-23","2025-11-28",6,Alta,100
"Recuperación de contraseña","2025-11-27","2025-11-30",4,Media,100
"Gestión de usuarios (CRUD)","2025-11-29","2025-12-04",6,Alta,100
"Asignación de roles y permisos","2025-12-03","2025-12-06",4,Alta,100
"API de productos (CRUD)","2025-12-05","2025-12-12",8,Alta,100
"Upload de imágenes (Cloudinary)","2025-12-10","2025-12-14",5,Alta,100
"API de categorías","2025-12-13","2025-12-18",6,Alta,100
"API de marcas","2025-12-17","2025-12-20",4,Media,100
"Búsqueda y filtros de productos","2025-12-19","2025-12-24",6,Alta,100
"API de ventas","2025-12-23","2025-12-30",8,Alta,100
"Generación de comprobantes","2025-12-29","2026-01-03",4,Alta,100
"Control de inventario","2026-01-02","2026-01-09",8,Alta,100
"Movimientos de stock","2026-01-08","2026-01-15",8,Alta,100
"API Dashboard y estadísticas","2026-01-14","2026-01-21",8,Alta,100
"Pruebas unitarias backend","2026-01-20","2026-01-30",11,Alta,100
"Configuración React base","2026-01-28","2026-02-03",7,Alta,100
"Setup Redux y routing","2026-02-02","2026-02-06",5,Alta,100
"Creación de componentes UI","2026-02-05","2026-02-14",10,Alta,100
"Módulo Admin - Productos","2026-02-13","2026-02-22",10,Alta,100
"Módulo Admin - Categorías/Marcas","2026-02-21","2026-02-27",7,Alta,100
"Módulo Admin - Ventas","2026-02-26","2026-03-07",10,Alta,100
"Módulo Admin - Reportes","2026-03-06","2026-03-11",6,Media,100
"Módulo Cliente - Catálogo","2026-03-10","2026-03-17",8,Alta,100
"Módulo Cliente - Carrito","2026-03-16","2026-03-21",6,Alta,100
"Módulo Cliente - Checkout","2026-03-20","2026-03-25",6,Alta,100
"Autenticación frontend","2026-03-08","2026-03-13",6,Alta,100
"Pruebas frontend web","2026-01-29","2026-02-10",13,Alta,100
"Configuración Expo/React Native","2026-02-12","2026-02-19",8,Alta,100
"Setup navegación móvil","2026-02-18","2026-02-24",7,Alta,100
"UI Móvil - Pantallas principales","2026-02-23","2026-03-05",11,Alta,100
"Integración API móvil","2026-03-04","2026-03-14",11,Alta,100
"Pruebas app móvil","2026-03-13","2026-03-20",8,Alta,100
"Pruebas de integración E2E","2026-03-19","2026-03-25",7,Alta,100
"QA y correcciones","2026-03-19","2026-03-25",7,Alta,100
"Configuración servidores producción","2026-03-20","2026-03-25",6,Alta,100
"Deployment backend (Railway)","2026-03-21","2026-03-25",5,Alta,100
"Deployment frontend web","2026-03-22","2026-03-25",4,Alta,100
"Build APK producción","2026-03-23","2026-03-25",3,Alta,100
"Documentación técnica","2026-03-20","2026-03-25",6,Media,100
"Manuales de usuario","2026-03-22","2026-03-25",4,Media,100
"Entrega y capacitación","2026-03-24","2026-03-25",2,Alta,100
